input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes
zen5,count/wikileaks-noquotes/direct4/cp16/point/cps/scan,1,5,"[1413.6222919619656,1415.1327191739435,1412.6614699332008,1414.0231828305539,1412.4064587972837]",1413.6222919619656,"[1413.6345413920697,1415.5296618920033,1412.6738206073724,1416.312208954091,1412.4187082412348]",1413.6345413920697,,,1024.0,256.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/cps/sparse17,1,5,"[95.04365176483093,95.07899602980271,95.09585576766115,95.21884347637027,95.10653586773397]",95.09585576766115,"[95.04447435684506,95.07989340241117,95.1225866094297,95.2344251364117,95.10742644303261]",95.10742644303261,,,1024.0,16.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/cps_fused/masked25,1,5,"[458.57853325903335,458.6578697177261,458.6608202471934,458.08445070977666,457.48516539358064]",458.57853325903335,"[458.58250008250087,458.66216437765223,458.84542504055963,458.0884503163251,457.4891322110208]",458.58250008250087,,,1024.0,62.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/cps_fused/scan,1,5,"[1419.8565757329523,1420.6597109120162,1419.2722923452648,1419.920704397329,1419.5919177524772]",1419.8565757329523,"[1419.8699104192754,1422.5490635097508,1419.8770358205215,1420.6964576581795,1419.6042345094836]",1419.8770358205215,,,1024.0,256.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/cps_fused/sparse17,1,5,"[95.53159019159492,95.43218620727077,95.41245509470723,95.2922313847132,95.42762763988311]",95.42762763988311,"[95.53241345508945,95.47084557987502,95.41334639643593,95.47002912094418,95.4447869038413]",95.47002912094418,,,1024.0,16.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/inline/masked25,1,5,"[390.3211057799728,390.10742579781146,390.66673175632286,390.55459160902205,390.59252956929123]",390.55459160902205,"[390.4218366495506,390.9167038596683,391.1072584251745,390.5579669714233,390.6968868514117]",390.6968868514117,,,1024.0,62.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/inline/scan,1,5,"[993.2958076185993,992.8815350784031,992.1104490316875,993.1291054833983,992.0415691281961]",992.8815350784031,"[994.0017024875181,992.8901893961187,992.119032422399,995.1324395175249,992.2708377624456]",992.8901893961187,,,1024.0,256.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/inline/sparse17,1,5,"[82.48807985148412,82.46117286271344,82.29726347699652,82.35595361188209,82.11754476665318]",82.35595361188209,"[82.48879658871333,82.61545330625668,82.3345748938761,82.3567232225945,82.11832025281278]",82.3567232225945,,,1024.0,16.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/materialized/masked25,1,5,"[406.4972454601079,406.2290786136905,406.51881540210064,406.55084968082906,406.7928119625869]",406.51881540210064,"[406.50077243991274,406.2702072418637,406.5223423791353,406.6173667140413,406.7966012792351]",406.5223423791353,,,1024.0,62.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/materialized/scan,1,5,"[1048.6399431095326,1047.8097162961346,1048.4579684107969,1049.7904783292233,1048.5186765476035]",1048.5186765476035,"[1048.8780597380428,1047.818923559593,1048.4671008398213,1049.928362894281,1049.849689338883]",1048.8780597380428,,,1024.0,256.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/materialized/sparse17,1,5,"[83.99055303955913,83.9792909687751,83.90656075527487,83.90476361632568,83.95490978362639]",83.95490978362639,"[83.99134378085512,84.19663096381124,83.91951812684357,83.90549445237302,83.95569453416606]",83.95569453416606,,,1024.0,16.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/shared/masked25,1,5,"[372.02767864223887,372.1059296269793,370.6239194226419,371.0722764163225,370.6661908160901]",371.0722764163225,"[372.0311682099705,372.10915483804393,370.6274089948112,371.07521083037165,370.6694424572426]",371.07521083037165,,,1024.0,62.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/shared/scan,1,5,"[1061.1776176024255,1062.7913505311299,1060.9795902883711,1061.7177541729995,1061.8042488619355]",1061.7177541729995,"[1061.1867981815012,1078.7764795209591,1061.5752655539504,1061.7270106218527,1062.0691957548886]",1061.7270106218527,,,1024.0,256.0,256.0,14.0
zen5,count/wikileaks-noquotes/direct4/cp16/point/shared/sparse17,1,5,"[84.67019330926964,84.56778542186224,84.49880695719293,84.56093602383753,84.46240401153341]",84.56093602383753,"[84.84515878939347,84.57978246630601,84.4995397400026,84.5722729578507,84.46314284974757]",84.5722729578507,,,1024.0,16.0,256.0,14.0
